source_job_id,title,company,city,state,country,created_at,description
5768551217,Software Engineer,Finastra Technology,Pune,Maharashtra,India,2026-06-19 02:32:24+00:00,"Who are we? At Finastra, we’re a global leader in financial services software, dedicated to expanding access to financial services and shaping what’s next for the industry. Our technology powers mission‑critical solutions across Lending, Payments and Universal Banking, supporting over 7,000 customers, including 80% of the world’s top 50 banks, in more than 110 countries. What will you contribute? Reporting to the Engineering Manager , the Software Engineer designs, develops, analyzes, and maint…"
5771929172,Software Engineer,Trimble,Chennai,Tamil Nadu,India,2026-06-22 02:27:29+00:00,"Shape the Future of Infrastructure Digitalization as a Software Engineer 1 (AECO / Owner & Public Sector) Are you a high-potential graduate or early-career engineer eager to build world-class SaaS solutions using the latest AI-augmented development tools? Our Owner & Public Sector team in India is looking for a Software Engineer 1 who is ready to jump into a high-velocity, modern development environment. You will have a unique opportunity to learn from global engineering leaders while working o…"
5771984628,Software Engineer,Zelis,,,India,2026-06-22 02:39:53+00:00,"About Us Zelis is modernizing the healthcare financial experience in the United States (U.S.) across payers, providers, and healthcare consumers. We serve more than 750 payers, including the top five national health plans, regional health plans, TPAs and millions of healthcare providers and consumers across our platform of solutions. Zelis sees across the system to identify, optimize, and solve problems holistically with technology built by healthcare experts – driving real, measurable results …"
5772985315,Software Engineer,Eurofins GSC IT DC,Bangalore,Karnataka,India,2026-06-23 05:55:07+00:00,"Job Description Senior Software Engineer as part of the respective scrum team should have the ability to analyze, code and deliver tasks as planned with defined quality Also appreciate to have the ability to learn and acquire new technology skills as a long term objective. This role expects the candidate to work closely with the scrum team effectively understand the requirements and think through all possible use cases and deliver a quality code per the defined standard and timelines. What we o…"
5773365170,Software Engineer,Capgemini,Bangalore,Karnataka,India,2026-06-23 14:56:42+00:00,"Choosing Capgemini means choosing a company where you will be empowered to shape your career in the way you’d like, where you’ll be supported and inspired by a collaborative community of colleagues around the world, and where you’ll be able to reimagine what’s possible. Join us and help the world’s leading organizations unlock the value of technology and build a more sustainable, more inclusive world. Your Role : Develop scalable backend services using ASP.NET Core, implementing RESTful APIs an…"
5774024619,Software Engineer,GE Vernova,,,India,2026-06-24 02:35:47+00:00,"Job Description Summary We are seeking a talented Software Engineer to join our team. The ideal candidate will possess strong skills in Python and Java. The primary responsibility will be to develop and maintain embedded software for our products, ensuring high-quality code and system reliability. Additionally, familiarity with IEC-61850 standards and knowledge of HVDC systems are considered advantageous. Job Description Key Responsibilities: Design, develop, test, and debug Python/Java based s…"
5774235889,Software Engineer/Sr. Software Engineer,Augusta Infotech,Bangalore,Karnataka,India,2026-06-24 07:22:51+00:00,"Big Data Developer with Java / Python / Scala and NoSQL (2 - 6 Years) Hiring: S/W Engineer / Senior S/W Engineer (2- 6yrs) from Java/ Python/ Scala with following skills and experience. Your Opportunity: To deliver results in a business driven by innovation at scale, you will need to be collaborative in a multi-disciplinary team. From designing algorithms to engaging clients to developing codes in Java, a career with us will never let your learning curve hit a saturation point. You will evolve …"
5774236635,Software Engineers,Augusta Infotech,Gurgaon,Haryana,India,2026-06-24 07:23:00+00:00,"The position is for Senior Analyst Programmer in Data team. The role involves development for the application involving strong Python programming, integration with Oracle DB interfaces, Bulk data distribution/consumption through data services, along with some exposure to PL/SQL, Performance Tuning knowledge on Oracle database platform. The candidate should have core skills of Python scripting. In addition, hands-on experience with Devops and Control-M technologies would be a plus. The successfu…"
5776518817,Software Engineer,Match Point Solutions,Bangalore,,India,2026-06-25 23:21:38+00:00,"About MatchPoint Solutions MatchPoint Solutions is a fast-growing global IT and Engineering services firm delivering innovative technology solutions to leading enterprises including Uber, Robinhood, Netflix, Airbnb, Google, and more. With a growing international presence across North America, Europe, Asia, and South America, we help organizations turn ideas into outcomes through cutting-edge technology, industry best practices, and deep technical expertise. We're expanding our team and looking …"
5776583344,Software Engineer,Recruitment Room,,,India,2026-06-26 00:35:21+00:00,"Software Engineer Contract Type: Contractor (1015 hours per week) Location: Remote Compensation: $20 $75 per hour Openings: 50 Job Summary We are seeking experienced Software Engineers to help train and evaluate next-generation AI systems through real-world engineering tasks. This role is ideal for developers who can reason through unfamiliar codebases, explain engineering decisions clearly, and solve practical backend, full-stack, systems, or infrastructure-related problems. A background in Cy…"
